X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-8877729.39076357,5400674.60807223,Aurora District,2021,Rainbow Trout,Lake Aquitaine,lac Aquitaine,,17-6005-48267,TORONTO,Yearlings,367,43.58,-79.75,54
-8843220.34861765,5454615.90464376,Aurora District,2021,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Fingerlings,15,43.93,-79.44,55
-8843220.34861765,5454615.90464376,Aurora District,2021,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Adult,114,43.93,-79.44,56
-8875503.0009477,5425294.3498267,Aurora District,2022,Brook Trout,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Yearlings,1200,43.74,-79.73,57
-8806484.91665587,5480930.47749909,Aurora District,2022,Brook Trout,,,Elgin Pond (Unofficial Name),17-6506-48848,UXBRIDGE,Yearlings,600,44.1,-79.11,58
-8843220.34861765,5454615.90464376,Aurora District,2022,Brook Trout,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Yearlings,1149,43.93,-79.44,59
-8858805.07732871,5394529.90283298,Aurora District,2022,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1338,43.54,-79.58,60
-8858805.07732871,5394529.90283298,Aurora District,2022,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1306,43.54,-79.58,61
-8858805.07732871,5394529.90283298,Aurora District,2022,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1329,43.54,-79.58,62
-8882182.1703953,5425294.3498267,Aurora District,2022,Brook Trout,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Yearlings,1151,43.74,-79.79,63
-8877729.39076357,5400674.60807223,Aurora District,2022,Brook Trout,Lake Aquitaine,lac Aquitaine,,17-6005-48267,TORONTO,Yearlings,1164,43.58,-79.75,64
-8858805.07732871,5394529.90283298,Aurora District,2022,Rainbow Trout,Credit River,,,17-6144-48227,,Yearlings,590,43.54,-79.58,65
-8858805.07732871,5394529.90283298,Aurora District,2022,Rainbow Trout,Credit River,,,17-6144-48227,,Adult,43,43.54,-79.58,66
-8875503.0009477,5425294.3498267,Aurora District,2022,Walleye,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Fingerlings,989,43.74,-79.73,67
-8882182.1703953,5425294.3498267,Aurora District,2022,Walleye,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Fingerlings,989,43.74,-79.79,68
-8806484.91665587,5480930.47749909,Aurora District,2023,Brook Trout,,,Elgin Pond (Unofficial Name),17-6506-48848,UXBRIDGE,Yearlings,500,44.1,-79.11,69
-8875503.0009477,5425294.3498267,Aurora District,2023,Brook Trout,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Yearlings,1020,43.74,-79.73,70
-8843220.34861765,5454615.90464376,Aurora District,2023,Brook Trout,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Yearlings,1000,43.93,-79.44,71
-8858805.07732871,5394529.90283298,Aurora District,2023,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1166,43.54,-79.58,72
-8858805.07732871,5394529.90283298,Aurora District,2023,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1050,43.54,-79.58,73
-8858805.07732871,5394529.90283298,Aurora District,2023,Brook Trout,Credit River,,,17-6144-48227,,Yearlings,1282,43.54,-79.58,74
-8846559.93334145,5408361.23322365,Aurora District,2023,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,2586,43.63,-79.47,75
-8846559.93334145,5408361.23322365,Aurora District,2023,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,430,43.63,-79.47,76
-8846559.93334145,5408361.23322365,Aurora District,2023,Brook Trout,Humber River,,,17-6237-48321,,Yearlings,2587,43.63,-79.47,77
-8877729.39076357,5400674.60807223,Aurora District,2023,Brook Trout,Lake Aquitaine,lac Aquitaine,,17-6005-48267,TORONTO,Yearlings,1000,43.58,-79.75,78
-8858805.07732871,5394529.90283298,Aurora District,2023,Rainbow Trout,Credit River,,,17-6144-48227,,Yearlings,926,43.54,-79.58,79
-8875503.0009477,5425294.3498267,Aurora District,2023,Walleye,,,Professor's Lake (Unofficial Name),17-6019-48445,CHINGUACOUSY,Fingerlings,1511,43.74,-79.73,80
-8843220.34861765,5454615.90464376,Aurora District,2023,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Fingerlings,1128,43.93,-79.44,81
-8843220.34861765,5454615.90464376,Aurora District,2023,Walleye,Bond Lake,lac Bond,,17-6245-48654,WHITCHURCH,Adult,16,43.93,-79.44,82
-8882182.1703953,5425294.3498267,Aurora District,2023,Walleye,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Adult,16,43.74,-79.79,83
-8882182.1703953,5425294.3498267,Aurora District,2023,Walleye,Heart Lake,lac Heart,,17-5970-48435,CHINGUACOUSY,Fingerlings,1111,43.74,-79.79,84
-8877729.39076357,5400674.60807223,Aurora Midhurst Owen Sound District,2024,Bluegill,Lake Aquitaine,lac Aquitaine,,17-6005-48267,TORONTO,Fry,4395,43.58,-79.75,85
-8922257.18708088,5490236.03003578,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Pine River Reservoir (Unofficial Name),17-5673-48906,MULMUR,Yearlings,2420,44.16,-80.15,86
-8922257.18708088,5490236.03003578,Aurora Midhurst Owen Sound District,2024,Brook Trout,,,Pine River Reservoir (Unofficial Name),17-5673-48906,MULMUR,Yearlings,2500,44.16,-80.15,87
